Contestant Key,Season,Position,Location,Name,Age,Sex,Partner,Kids,Weight,City,State/Province,Country,Duration,Reason for leaving,Reason1,Reason2,Items
3,1,4,"Quatsino, British Columbia, Canada",Lucas Miller,32,Male,Yes,No,Light,Quasqueton,Iowa,United States,39,Felt content with what he had done,Content,Mental,Fishing line and hooks
3,1,4,"Quatsino, British Columbia, Canada",Lucas Miller,32,Male,Yes,No,Light,Quasqueton,Iowa,United States,39,Felt content with what he had done,Content,Mental,Tarp
3,1,4,"Quatsino, British Columbia, Canada",Lucas Miller,32,Male,Yes,No,Light,Quasqueton,Iowa,United States,39,Felt content with what he had done,Content,Mental,Food ration
3,1,4,"Quatsino, British Columbia, Canada",Lucas Miller,32,Male,Yes,No,Light,Quasqueton,Iowa,United States,39,Felt content with what he had done,Content,Mental,Knife
4,1,5,"Quatsino, British Columbia, Canada",Dustin Feher,37,Male,Yes,No,Medium,Pittsburgh,Pennsylvania,United States,8,Fear of storm,Fear,Mental,Paracord
4,1,5,"Quatsino, British Columbia, Canada",Dustin Feher,37,Male,Yes,No,Medium,Pittsburgh,Pennsylvania,United States,8,Fear of storm,Fear,Mental,Axe
4,1,5,"Quatsino, British Columbia, Canada",Dustin Feher,37,Male,Yes,No,Medium,Pittsburgh,Pennsylvania,United States,8,Fear of storm,Fear,Mental,Sleeping bag
4,1,5,"Quatsino, British Columbia, Canada",Dustin Feher,37,Male,Yes,No,Medium,Pittsburgh,Pennsylvania,United States,8,Fear of storm,Fear,Mental,Pot
4,1,5,"Quatsino, British Columbia, Canada",Dustin Feher,37,Male,Yes,No,Medium,Pittsburgh,Pennsylvania,United States,8,Fear of storm,Fear,Mental,Ferro rod
4,1,5,"Quatsino, British Columbia, Canada",Dustin Feher,37,Male,Yes,No,Medium,Pittsburgh,Pennsylvania,United States,8,Fear of storm,Fear,Mental,Canteen
4,1,5,"Quatsino, British Columbia, Canada",Dustin Feher,37,Male,Yes,No,Medium,Pittsburgh,Pennsylvania,United States,8,Fear of storm,Fear,Mental,Fishing line and hooks
4,1,5,"Quatsino, British Columbia, Canada",Dustin Feher,37,Male,Yes,No,Medium,Pittsburgh,Pennsylvania,United States,8,Fear of storm,Fear,Mental,Gill net
4,1,5,"Quatsino, British Columbia, Canada",Dustin Feher,37,Male,Yes,No,Medium,Pittsburgh,Pennsylvania,United States,8,Fear of storm,Fear,Mental,Slingshot
4,1,5,"Quatsino, British Columbia, Canada",Dustin Feher,37,Male,Yes,No,Medium,Pittsburgh,Pennsylvania,United States,8,Fear of storm,Fear,Mental,Knife
5,1,6,"Quatsino, British Columbia, Canada",Brant McGee,44,Male,Yes,Yes,Heavy,Albemarle,North Carolina,United States,6,Consuming salt water,Illness,Inexperience,Tarp
5,1,6,"Quatsino, British Columbia, Canada",Brant McGee,44,Male,Yes,Yes,Heavy,Albemarle,North Carolina,United States,6,Consuming salt water,Illness,Inexperience,Paracord
5,1,6,"Quatsino, British Columbia, Canada",Brant McGee,44,Male,Yes,Yes,Heavy,Albemarle,North Carolina,United States,6,Consuming salt water,Illness,Inexperience,Axe
5,1,6,"Quatsino, British Columbia, Canada",Brant McGee,44,Male,Yes,Yes,Heavy,Albemarle,North Carolina,United States,6,Consuming salt water,Illness,Inexperience,Sleeping bag
5,1,6,"Quatsino, British Columbia, Canada",Brant McGee,44,Male,Yes,Yes,Heavy,Albemarle,North Carolina,United States,6,Consuming salt water,Illness,Inexperience,Pot
5,1,6,"Quatsino, British Columbia, Canada",Brant McGee,44,Male,Yes,Yes,Heavy,Albemarle,North Carolina,United States,6,Consuming salt water,Illness,Inexperience,Ferro rod
5,1,6,"Quatsino, British Columbia, Canada",Brant McGee,44,Male,Yes,Yes,Heavy,Albemarle,North Carolina,United States,6,Consuming salt water,Illness,Inexperience,Fishing line and hooks
5,1,6,"Quatsino, British Columbia, Canada",Brant McGee,44,Male,Yes,Yes,Heavy,Albemarle,North Carolina,United States,6,Consuming salt water,Illness,Inexperience,Bow and arrows
5,1,6,"Quatsino, British Columbia, Canada",Brant McGee,44,Male,Yes,Yes,Heavy,Albemarle,North Carolina,United States,6,Consuming salt water,Illness,Inexperience,Food ration
5,1,6,"Quatsino, British Columbia, Canada",Brant McGee,44,Male,Yes,Yes,Heavy,Albemarle,North Carolina,United States,6,Consuming salt water,Illness,Inexperience,Knife
6,1,7,"Quatsino, British Columbia, Canada",Wayne Russell,46,Male,Yes,Yes,Medium,Saint John,New Brunswick,Canada,4,Fear of bears,Fear,Mental,Pot
6,1,7,"Quatsino, British Columbia, Canada",Wayne Russell,46,Male,Yes,Yes,Medium,Saint John,New Brunswick,Canada,4,Fear of bears,Fear,Mental,Paracord
6,1,7,"Quatsino, British Columbia, Canada",Wayne Russell,46,Male,Yes,Yes,Medium,Saint John,New Brunswick,Canada,4,Fear of bears,Fear,Mental,Saw
6,1,7,"Quatsino, British Columbia, Canada",Wayne Russell,46,Male,Yes,Yes,Medium,Saint John,New Brunswick,Canada,4,Fear of bears,Fear,Mental,Axe
