Contestant Key,Season,Position,Location,Name,Age,Sex,Partner,Kids,Weight,Experience,Experience 1,Experience 2,Experience 3,Experience 4,City,State/Province,Country,Duration,Reason for leaving,Reason1,Reason2,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,,,,,,,,,
65,8,6,"Chilko Lake, British Columbia, Canada",Nate Weber,47,Male,Yes,Yes,Medium,Military/Homesteader,Rural Living,Military,Health Care,,East Jordan,Michigan,United States,24,Food poisoning,Injury,Mistake,Sleeping bag,Pot,Ferro rod,Paracord,Snare wire,Bow and arrows,Fishing line and hooks,Axe,Saw,Multitool,,,,,,,,,
66,8,7,"Chilko Lake, British Columbia, Canada",Matt Corradino,42,Male,Yes,Yes,Light,Wilderness Survival Instructor,Survival School,Rural Living,,,St. Croix,US Virgin Islands,U.S. Virgin Islands,22,"Missed his family, starvation",Lonely,Mental,Bow and arrows,Fishing line and hooks,Knife,Saw,Sleeping bag,Paracord,Pot,Canteen,Food ration,Snare wire,,,,,,,,,
67,8,8,"Chilko Lake, British Columbia, Canada",Michelle Finn,46,Female,Yes,No,Light,Educator,Rural Living,Bushcrafting,,,Cherryfield,Maine,United States,21,Starvation,Food,Environment,Sleeping bag,Pot,Ferro rod,Multitool,Saw,Axe,Snare wire,Fishing line and hooks,Bow and arrows,Paracord,,,,,,,,,
68,8,9,"Chilko Lake, British Columbia, Canada",Jordon Bell,43,Male,Yes,Yes,Light,Carpenter,Hunter,Cold Weather,,,Oak Ridge,Tennessee,United States,19,Missed his family,Lonely,Mental,Sleeping bag,Ferro rod,Pot,Axe,Saw,Multitool,Snare wire,Fishing line and hooks,Bow and arrows,Food ration,,,,,,,,,
69,8,10,"Chilko Lake, British Columbia, Canada",Tim Madsen,48,Male,No,No,Heavy,"Oil Rig Roughneck, hunter",Hunter,Rural Living,,,Laramie,Wyoming,United States,6,"Anxiety attack, chest pains",Injury,Pre-existing Health,Sleeping bag,Pot,Ferro rod,Bow and arrows,Multitool,Saw,Axe,Fishing line and hooks,Paracord,Food ration,,,,,,,,,
70,9,1,"Big River, Labrador, Canada",Juan Pablo Quiñonez,30,Male,Yes,No,Medium,Outdoor Survival,Hunter,Rural Living,Cold Weather,Solo Trips,Pinawa,Manitoba,Canada,78,Victor,Won,,Ferro rod,Paracord,Pot,Axe,Fishing line and hooks,Saw,Bow and arrows,Sleeping bag,Snare wire,Multitool,,,,,,,,,
71,9,2,"Big River, Labrador, Canada",Karie Lee Knoke,57,Female,Yes,No,Medium,Wilderness Survival Instructor,Rural Living,Survival School,Plant Experience,Bushcrafting,Sandpoint,Idaho,United States,75,"Felt too weak, exhaustion",Food,Environment,Paracord,Sleeping bag,Pot,Ferro rod,Fishing line and hooks,Bow and arrows,Snare wire,Multitool,Axe,Food ration,,,,,,,,,
72,9,3,"Big River, Labrador, Canada",Teimojin Tan,31,Male,No,No,Light,Doctor,Health Care,Military,Cold Weather,,Montreal,Quebec,Canada,63,Missed his family; journey complete,Lonely,Mental,Sleeping bag,Axe,Multitool,Ferro rod,Pot,Bow and arrows,Paracord,Snare wire,Fishing line and hooks,Emergency rations,,,,,,,,,
73,9,4,"Big River, Labrador, Canada",Adam Riley,36,Male,Yes,No,Medium,"Alpaca Sheerer, Treehouse Builder",Solo Trips,Hunter,,,Fayetteville,Arkansas,United States,52,Starvation,Food,Environment,Sleeping bag,Tarp,Axe,Saw,Multitool,Ferro rod,Fishing line and hooks,Pot,Snare wire,Bow and arrows,,,,,,,,,
74,9,5,"Big River, Labrador, Canada",Jessie Krebs,49,Female,Yes,No,Light,Wilderness Survival Instructor,Military,Survival School,,,Pagosa Springs,Colorado,United States,46,"Exhaustion, Spent a month on shelter with no food",Food,Mistake,Sleeping bag,Multitool,Ferro rod,Snare wire,Saw,Salt,Pot,Machete,Paracord,Bow and arrows,,,,,,,,,
75,9,6,"Big River, Labrador, Canada",Tom Garstang,35,Male,Yes,No,Light,"Prescribed Fire, Agriculture, Leatherworker",Hunter,Plant Experience,,,Earlysville,Virginia,United States,43,Starvation leading to repeated falls,Injury,Environment,Sleeping bag,Bow and arrows,Multitool,Salt,Pot,Ferro rod,Axe,Paracord,Snare wire,Fishing line and hooks,,,,,,,,,
76,9,7,"Big River, Labrador, Canada",Terry Burns,30,Male,No,No,Medium,"Commercial Fisherman, Extended camper",Hunter,Solo Trips,,,Homer,Alaska,United States,42,"Starvation, Possible parasites",Food,Environment,Axe,Sleeping bag,Bow and arrows,Fishing line and hooks,Ferro rod,Paracord,Pot,Snare wire,Multitool,Saw,,,,,,,,,
77,9,8,"Big River, Labrador, Canada",Benji Hill,46,Male,Yes,Yes,Medium,"Hunting Guide, weightlifter, archer",Hunter,,,,Bellevue,Idaho,United States,27,Giardia Infection,Injury,Mistake,Sleeping bag,Bow and arrows,Multitool,Salt,Pot,Ferro rod,Axe,Paracord,Snare wire,Fishing line and hooks,,,,,,,,,
78,9,9,"Big River, Labrador, Canada",Igor Limansky,39,Male,Yes,No,Medium,Refugee Support,Hunter,,,,Salt Lake City,Utah,United States,20,"Heart palipations, Exhaustion",Food,Inexperience,Sleeping bag,Bow and arrows,Multitool,Pot,Ferro rod,Trapping wire,Fishing line and hooks,Paracord,Saw,Axe,,,,,,,,,
79,9,10,"Big River, Labrador, Canada",Jacques Turcotte,23,Male,Yes,No,Light,Wilderness Expedition Guide,Cold Weather,Bushcrafting,Rural Living,,Juneau,Alaska,United States,15,Missed his family,Lonely,Mental,Sleeping bag,Axe,Knife,Multitool,Ferro rod,Bow and arrows,Snare wire,Fishing line and hooks,Pot,Food ration,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

