Contestant Key,Season,Position,Location,Name,Age,Sex,Partner,Kids,Weight,Experience,Experience 1,Experience 2,Experience 3,Experience 4,City,State/Province,Country,Duration,Reason for leaving,Reason1,Reason2,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,,,,,,,,,
17,2,8,"Quatsino, British Columbia, Canada",Tracy Wilson,44,Female,No,Yes,Heavy,"Military, police",Military,Bushcrafting,Police,,Aiken,South Carolina,United States,8,Didn't want to hurt a bear/cub,Fear,Mental,Knife,Ferro rod,Pot,Fishing line and hooks,Saw,Axe,Sleeping bag,Gill net,Food ration,Food ration,,,,,,,,,
18,2,9,"Quatsino, British Columbia, Canada",Mary Kate Green,36,Female,No,Yes,Light,"Firefighter, fitness trainer",Firefighter,,,,Homer,Alaska,United States,7,Split tendon with axe,Injury,Mistake,Knife,Ferro rod,Pot,Fishing line and hooks,Saw,Axe,Sleeping bag,Gill net,Tarp,Food ration,,,,,,,,,
19,2,10,"Quatsino, British Columbia, Canada",Desmond White,37,Male,No,No,Medium,"Army, Boy Scout",Military,Boy Scout,,,Coolidge,Arizona,United States,0.25,Bear scare,Fear,Mental,Knife,Ferro rod,Pot,Fishing line and hooks,Saw,Axe,Sleeping bag,Bivy bag,Gill net,Food ration,,,,,,,,,
20,3,1,"Patagonia, Argentina",Zachary Fowler,36,Male,Yes,Yes,Medium,"Rugged living, crating",Rural Living,Bushcrafting,,,Appleton,Maine,United States,87,Victor,Won,Won,Shovel,Sleeping bag,Axe,Pot,Ferro rod,Slingshot,Fishing line and hooks,Paracord,Saw,Multitool,,,,,,,,,
21,3,2,"Patagonia, Argentina",Carleigh Fairchild,28,Female,No,No,Light,Attended wilderness school,Survival School,Plant Experience,Rural Living,,Edna Bay,Alaska,United States,86,BMI too low,Food,Environment,Paracord,Saw,Sleeping bag,Pot,Ferro rod,Canteen,Fishing line and hooks,Bow and arrows,Knife,Food ration,,,,,,,,,
22,3,3,"Patagonia, Argentina",Megan Hanacek,41,Female,Yes,Yes,Light,"Fitness trainer, fisherwoman, biology work",Plant Experience,,,,Port McNeill,British Columbia,Canada,78,"2 broken teeth(molars), jaw pain",Injury,Mistake,Sleeping bag,Bivy Bag,Axe,Knife,Pot,Gill net,Fishing line and hooks,Paracord,Ferro rod,Food ration,,,,,,,,,
23,3,4,"Patagonia, Argentina",Dave Nessia,49,Male,No,No,Light,Bushcraft instructor,Survival School,Bushcrafting,Rural Living,,Salt Lake City,Utah,United States,73,Systolic pressure too low,Food,Environment,Axe,Sleeping bag,Pot,Ferro rod,Fishing line and hooks,Bow and arrows,Gill net,Snare wire,Knife,Food ration,,,,,,,,,
24,3,5,"Patagonia, Argentina",Callie North,27,Female,No,No,Light,Apothecaist,Plant Experience,Rural Living,,,Lopez Island,Washington,United States,72,Felt like journey was complete,Content,Mental,Knife,Ferro rod,Sleeping bag,Pot,Fishing line and hooks,Paracord,Tarp,Saw,Food ration,Food ration,,,,,,,,,
25,3,6,"Patagonia, Argentina",Greg Ovens,53,Male,No,Yes,Medium,"Bushcraft, edible plants",Plant Experience,Bushcrafting,,,Canal Flats,British Columbia,Canada,51,Hypothermia,Cold,Environment,Knife,Paracord,Pot,Fishing line and hooks,Bow and arrows,Axe,Saw,Sleeping bag,Ferro rod,Food ration,,,,,,,,,
26,3,7,"Patagonia, Argentina",Dan Wowak,34,Male,Yes,Yes,Medium,"Endurance races, bushcraft",Bushcrafting,,,,Mahanoy City,Pennsylvania,United States,51,Missed family,Lonely,Mental,Axe,Knife,Saw,Sleeping bag,Hammock,Paracord,Pot,Ferro rod,Fishing line and hooks,Food ration,,,,,,,,,
